numer ramki	temp_defekt_sreddnica10mm_glebokosc1mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
163	25.0046	25.0489	25.0818	24.9783	25.0562
164	24.994	25.1485	25.0772	24.9736	25.0256
165	25.0408	25.0918	25.1253	24.9522	25.0563
166	24.9713	25.0923	25.0546	24.9483	25.0466
167	24.9791	25.1055	25.0827	24.9571	25.0247
168	24.9615	25.1129	25.0773	24.9533	25.007
169	25.0364	25.1055	25.071	25.0241	25.0203
170	25.0217	25.095	25.1196	24.9783	25.0412
171	24.9791	25.0853	25.0775	24.9805	25.0491
172	24.9889	25.1055	25.071	24.9553	25.0563
173	24.9782	25.0842	25.0827	24.9759	25.0256
174	24.9745	25.0819	25.097	24.9441	25.0504
175	25.0029	25.0922	25.0935	24.9536	25.0466
176	24.9624	25.1042	25.0633	24.9377	25.0174
177	24.9807	25.0516	25.0852	24.9648	25.0523
178	24.999	25.0634	25.1204	25.0107	25.0185
179	24.9731	25.1025	25.0633	24.952	25.0458
180	24.9985	25.1057	25.0935	24.9475	25.0491
181	24.9745	25.1274	25.1301	24.9817	25.0247
182	25.0159	25.0865	25.1289	24.9608	25.0886
183	25.0128	25.0922	25.0859	24.9431	25.0411
184	25.0177	25.1382	25.1037	24.9922	25.0203
185	24.9843	25.0776	25.1206	24.9571	25.0559
186	25.0143	25.0676	25.1291	24.9798	25.0312
187	25.03	25.1064	25.0775	24.9731	25.0523
188	25.0552	25.137	25.0754	24.9441	25.0203
189	25.0149	25.1281	25.0633	24.9571	25.0193
190	24.9958	25.0734	25.0926	24.9571	25.0102
191	24.9725	25.0682	25.0865	24.9686	25.0393
192	24.9997	25.0886	25.1134	24.9736	25.0491
193	24.9831	25.1235	25.0499	24.9852	25.0491
194	24.9776	25.1337	25.0827	24.9517	25.0671
195	24.9982	25.1241	25.0559	24.9571	25.0254
196	25.0202	25.0814	25.0855	24.9652	25.0467
197	24.9952	25.095	25.0773	25.0111	25.0671
198	25.0217	25.0714	25.0849	24.9938	25.0312
199	25.0143	25.0865	25.0859	25.001	25.0523
200	25.0177	25.0897	25.0451	24.9571	25.0037
201	24.9958	25.0752	25.0849	24.9608	25.0257
202	24.9795	25.0728	25.1142	24.9312	25.0886
203	25.0177	25.0893	25.0919	24.9819	25.0312
204	24.984	25.0876	25.0764	24.9586	25.0349
205	24.999	25.0939	25.0804	24.9908	25.0458
206	25.0046	25.0706	25.0869	24.9536	25.0458
207	25.0224	25.0444	25.1128	24.9593	25.0458
208	24.9592	25.1137	25.0803	24.9783	25.0255
209	25.0309	25.1043	25.098	24.9796	25.0412
210	25.0037	25.1244	25.0989	24.9796	25.0349
211	25.0427	25.113	25.1301	24.9805	25.042
212	24.9697	25.0923	25.0537	24.9517	25.0135
213	24.983	25.074	25.0653	24.9436	25.0457
214	24.9823	25.1055	25.061	24.9547	25.0247
215	24.9603	25.1342	25.1253	24.9571	25.0457
216	25.0046	25.1032	25.1044	24.9736	25.0411
