numer ramki	temp_defekt_srednica10mm_glebokosc3mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
285	24.9181	24.9782	24.9048	24.8279	24.8986
286	24.9008	24.9589	24.9471	24.8353	24.89
287	24.8878	24.9967	24.8984	24.8142	24.9193
288	24.8862	24.9914	24.8984	24.8419	24.8846
289	24.9171	24.9548	24.9006	24.8347	24.8868
290	24.9289	24.9978	24.9075	24.8523	24.8984
291	24.9093	24.9472	24.9268	24.863	24.8919
292	24.8662	24.9548	24.9268	24.7989	24.9045
293	24.8949	24.9649	24.9395	24.8279	24.9016
294	24.885	24.9334	24.906	24.849	24.8986
295	24.8955	24.9909	24.8894	24.8121	24.9441
296	24.8741	24.9459	24.9103	24.7988	24.9045
297	24.8848	24.9548	24.9282	24.8291	24.916
298	24.9024	24.9402	24.9083	24.8332	24.9193
299	24.8862	25.0131	24.9216	24.7997	24.8813
300	24.8662	24.9621	24.9536	24.8419	24.8667
301	24.8815	24.9411	24.9091	24.8483	24.8977
302	24.8917	24.9502	24.9191	24.8389	24.8974
303	24.9277	24.9967	24.9497	24.8353	25.0125
304	24.8906	24.9642	24.88	24.8304	24.8931
305	24.9246	24.9516	24.929	24.8398	24.8847
306	24.912	25.0122	24.9031	24.8231	24.8775
307	24.9075	24.9362	24.9083	24.8373	24.8905
308	24.9279	24.9758	24.9268	24.8231	24.9237
309	24.8534	24.9705	24.9114	24.8204	24.9193
310	24.8702	24.9807	24.9436	24.8142	24.8596
311	24.8949	24.9581	24.9246	24.8606	24.9031
312	24.9289	24.9681	24.906	24.8066	24.9078
313	24.8876	24.9845	24.9128	24.8201	24.9172
314	24.9065	24.9548	24.9114	24.8412	24.9402
315	24.8633	24.9616	24.9122	24.8404	24.8823
316	24.8733	24.9655	24.9268	24.8612	24.9036
317	24.8862	24.9655	24.9564	24.8419	24.9022
318	24.8862	24.956	24.9321	24.8307	24.8846
319	24.8744	24.9811	24.899	24.8415	24.9005
320	24.9075	24.9548	24.9134	24.8185	24.9078
321	24.876	24.9758	24.9388	24.8185	24.8984
322	24.8792	24.9411	24.93	24.8514	24.9005
323	24.8656	24.9409	24.929	24.8123	24.9169
324	24.9065	25.0001	24.8907	24.833	24.8794
325	24.8878	24.9864	24.9101	24.8304	24.9142
326	24.8883	24.9446	24.9275	24.8161	24.9255
327	24.9171	24.9548	24.9158	24.8279	24.9022
328	24.9302	24.9807	24.9475	24.8113	24.9287
329	24.8739	24.9406	24.9196	24.8529	24.9045
330	24.8862	24.954	24.929	24.849	24.8689
331	24.9006	24.9548	24.906	24.8061	24.9263
332	24.9289	24.9616	24.9101	24.8461	24.9342
333	24.9006	24.9616	24.8989	24.8351	24.8766
334	24.8869	24.9914	24.8941	24.7973	24.8823
335	24.8763	24.9599	24.9061	24.8307	24.9193
336	24.8816	24.9482	24.9523	24.869	24.8985
337	24.9152	25.0176	24.9321	24.831	24.9859
338	24.8936	25.0089	24.9237	24.8067	24.897
339	24.8955	24.9206	24.9096	24.8128	24.8984
340	24.866	24.9649	24.9058	24.8141	24.8813
341	24.8703	24.9705	24.8989	24.8564	24.9377
342	24.8948	24.9807	24.9246	24.8479	24.9111
343	24.9236	24.954	24.894	24.8268	24.9226
344	24.876	24.9597	24.9083	24.8397	24.8776
345	24.8862	24.9826	24.9061	24.8543	24.8711
346	24.8645	24.9807	24.9187	24.863	24.8892
347	24.8966	24.9558	24.9489	24.819	24.9005
348	24.8995	24.9957	24.9096	24.9198	24.9031
349	24.8906	24.9496	24.9083	24.8564	24.9232
350	24.9172	25.0009	24.9278	24.8134	24.9226
351	24.8862	24.9387	24.9108	24.8208	24.9027
352	24.8848	24.9496	24.9035	24.807	24.8775
353	24.8526	24.9362	24.929	24.8479	24.9045
354	24.8778	24.9616	24.9207	24.8413	24.8776
355	24.8815	24.9756	24.9282	24.8201	24.9288
356	24.9063	24.9731	24.9182	24.8353	24.8824
357	24.8662	24.9621	24.9682	24.8514	24.9005
358	24.878	24.9411	24.929	24.8179	24.8823
359	24.8871	24.9991	24.9712	24.8391	24.9016
360	24.8846	24.9462	25.0018	24.8179	24.8716
361	24.888	24.9496	24.9608	24.8423	24.8963
362	24.8748	24.9331	24.9108	24.8564	24.9232
363	24.9075	25.0047	24.9453	24.8419	24.9034
364	24.9502	24.9417	24.9061	24.8204	24.8984
365	24.8733	24.9705	24.9061	24.7989	24.8806
366	24.8963	24.9705	24.9083	24.8204	24.9287
367	24.9309	24.9496	24.9031	24.849	24.8566
368	24.9171	24.9276	24.9009	24.8067	24.897
369	24.8654	24.9914	24.899	24.8204	24.9005
370	24.9008	24.9339	24.9096	24.8113	24.8794
371	24.9335	24.9312	24.9174	24.8848	24.9022
372	24.8668	24.9655	24.9237	24.8187	24.9022
373	24.9065	24.9548	24.922	24.8123	24.8924
