numer ramki	temp_defekt_srednica10mm_glebokosc0,7mm	temp_plyta	temp_plyta	temp_plyta	temp_plyta
83	24.7762	24.9166	24.8223	24.7768	24.8686
84	24.7809	24.8794	24.8179	24.7867	24.8118
85	24.7809	24.8504	24.801	24.7774	24.8252
86	24.8034	24.8745	24.8317	24.7739	24.8411
87	24.8222	24.8603	24.8198	24.761	24.8698
88	24.8009	24.8854	24.8391	24.7536	24.8364
89	24.7648	24.8669	24.7881	24.7497	24.8118
90	24.8016	24.8603	24.8117	24.7241	24.8411
91	24.807	24.8847	24.8141	24.7461	24.8156
92	24.7997	24.882	24.8158	24.7402	24.8228
93	24.8009	24.8706	24.8179	24.7461	24.8118
94	24.7967	24.8846	24.8691	24.8118	24.8334
95	24.8487	24.895	24.8347	24.8118	24.8064
96	24.8053	24.895	24.793	24.7672	24.866
97	24.7803	24.9134	24.7969	24.7557	24.8481
98	24.7797	24.9517	24.8349	24.7961	24.8281
99	24.8042	24.8518	24.8061	24.7642	24.8258
100	24.8034	24.876	24.8391	24.7671	24.8481
101	24.8013	24.916	24.8391	24.7774	24.8228
102	24.8431	24.9134	24.8606	24.7524	24.8388
103	24.7804	24.8656	24.793	24.7628	24.8118
104	24.8263	24.8704	24.8564	24.7451	24.8193
105	24.8038	24.8871	24.848	24.768	24.8258
106	24.8263	24.895	24.8121	24.7572	24.8411
107	24.8169	24.8733	24.8347	24.7542	24.9901
108	24.8693	24.874	24.7883	24.7823	24.8364
109	24.8195	24.8962	24.8295	24.7603	24.8444
110	24.7934	24.8702	24.8816	24.8036	24.8358
111	24.8013	24.9134	24.819	24.7587	24.866
112	24.7714	24.8883	24.837	24.7742	24.8171
113	24.8487	24.8572	24.8206	24.7308	24.8444
114	24.816	24.876	24.8341	24.7333	24.8472
115	24.7637	24.8739	24.8824	24.7733	24.9037
116	24.8394	24.8706	24.8294	24.7901	24.8414
117	24.7981	24.8561	24.8333	24.7806	24.8301
118	24.8268	24.8918	24.8158	24.8082	24.8629
119	24.8181	24.8877	24.8604	24.7598	24.861
120	24.862	24.883	24.8324	24.7164	24.866
121	24.8087	24.8587	24.8206	24.7617	24.8589
122	24.7722	24.876	24.8276	24.7642	24.8373
123	24.8211	24.9126	24.8158	24.7684	24.8264
124	24.7713	24.8955	24.8179	24.7461	24.8127
125	24.7811	24.895	24.8294	24.7548	24.8228
126	24.7981	24.9566	24.8436	24.7598	24.8264
127	24.8184	24.8536	24.7962	24.7463	24.8444
128	24.7773	24.8918	24.7979	24.7716	24.8604
129	24.8035	24.8871	24.8483	24.7458	24.8629
130	24.8102	24.8918	24.821	24.7221	24.8102
131	24.7981	24.9255	24.8339	24.768	24.819
132	24.7789	24.8656	24.8295	24.768	24.8629
133	24.8181	24.8728	24.8564	24.7397	24.8155
134	24.8446	24.9	24.8123	24.7482	24.861
135	24.8261	24.9253	24.8083	24.7565	24.8333
136	24.8004	24.8918	24.8347	24.7402	24.7955
137	24.816	24.8577	24.797	24.7603	24.8693
138	24.8013	24.8521	24.8206	24.7716	24.8118
139	24.8211	24.8921	24.8317	24.8036	24.8604
